x,y,theta,kappa
-4.5,1.8225,-0.68081,0.084458
-4.4219,1.7598,-0.67226,0.086216
-4.3438,1.6981,-0.66359,0.088003
-4.2641,1.6364,-0.65463,0.089855
-4.1844,1.5758,-0.64554,0.091738
-4.1047,1.5164,-0.63632,0.093649
-4.0234,1.4569,-0.6268,0.095628
-3.9422,1.3987,-0.61714,0.097635
-3.8609,1.3416,-0.60734,0.099671
-3.7781,1.2847,-0.59722,0.10177
-3.6953,1.229,-0.58696,0.1039
-3.6109,1.1735,-0.57635,0.1061
-3.5266,1.1193,-0.5656,0.10832
-3.4422,1.0664,-0.5547,0.11056
-3.3563,1.0138,-0.54345,0.11287
-3.2703,0.96254,-0.53204,0.1152
-3.1844,0.91262,-0.52047,0.11755
-3.0969,0.86316,-0.50854,0.11995
-3.0094,0.81507,-0.49644,0.12237
-2.9219,0.76836,-0.48418,0.12479
-2.8328,0.72223,-0.47154,0.12727
-2.7438,0.67753,-0.45874,0.12974
-2.6531,0.63352,-0.44554,0.13226
-2.5625,0.59098,-0.43217,0.13478
-2.4719,0.54991,-0.41864,0.13728
-2.3797,0.50966,-0.4047,0.13981
-2.2875,0.47094,-0.39059,0.14232
-2.1953,0.43375,-0.37632,0.14479
-2.1016,0.39749,-0.36164,0.14728
-2.0078,0.36282,-0.3468,0.14973
-1.9141,0.32973,-0.33179,0.15213
-1.8188,0.29771,-0.31638,0.15451
-1.7234,0.26732,-0.30081,0.15683
-1.6281,0.23857,-0.28508,0.15907
-1.5313,0.21103,-0.26895,0.16128
-1.4344,0.18517,-0.25267,0.16339
-1.3375,0.161,-0.23625,0.16541
-1.2406,0.13852,-0.21971,0.16733
-1.1438,0.11773,-0.20304,0.16913
-1.0453,0.098341,-0.18598,0.17085
-0.94688,0.080692,-0.16882,0.17243
-0.84844,0.064786,-0.15155,0.17388
-0.75,0.050625,-0.13419,0.17519
-0.65156,0.038208,-0.11675,0.17635
-0.55313,0.027535,-0.099235,0.17736
-0.45391,0.018543,-0.081522,0.17821
-0.35469,0.011322,-0.063757,0.17891
-0.25547,0.0058738,-0.045952,0.17943
-0.15625,0.0021973,-0.028118,0.17979
-0.057031,0.00029273,-0.010265,0.17997
0.042187,0.00016018,0.0075936,0.17998
0.14141,0.0017996,0.025448,0.17983
0.24062,0.005211,0.043285,0.17949
0.33984,0.010394,0.061096,0.17899
0.43906,0.01735,0.078867,0.17833
0.53828,0.026077,0.096589,0.17749
0.6375,0.036577,0.11425,0.1765
0.73594,0.048744,0.1317,0.17536
0.83437,0.062656,0.14907,0.17408
0.93281,0.078313,0.16635,0.17265
1.0312,0.095713,0.18354,0.17108
1.1297,0.11486,0.20061,0.16939
1.2266,0.1354,0.2173,0.1676
1.3234,0.15763,0.23386,0.1657
1.4203,0.18156,0.2503,0.16369
1.5172,0.20717,0.26659,0.16159
1.6141,0.23447,0.28275,0.1594
1.7094,0.26298,0.29849,0.15716
1.8047,0.29312,0.31409,0.15485
1.9,0.3249,0.32953,0.15248
1.9937,0.35775,0.34456,0.15009
2.0875,0.39219,0.35943,0.14765
2.1812,0.42821,0.37413,0.14517
2.2734,0.46517,0.38843,0.1427
2.3656,0.50366,0.40256,0.14019
2.4578,0.54368,0.41652,0.13767
2.5484,0.58451,0.43008,0.13517
2.6391,0.62682,0.44347,0.13265
2.7297,0.67061,0.4567,0.13014
2.8187,0.71508,0.46953,0.12766
2.9078,0.76098,0.4822,0.12518
2.9953,0.80747,0.49448,0.12276
3.0828,0.85534,0.5066,0.12034
3.1703,0.90458,0.51856,0.11793
3.2563,0.95428,0.53015,0.11558
3.3422,1.0053,0.54159,0.11325
3.4281,1.0577,0.55287,0.11094
3.5125,1.1104,0.5638,0.10869
3.5969,1.1644,0.57457,0.10647
3.6813,1.2196,0.5852,0.10427
3.7641,1.2751,0.59549,0.10213
3.8469,1.3319,0.60563,0.10003
3.9281,1.3887,0.61545,0.097986
4.0094,1.4468,0.62513,0.095973
4.0906,1.506,0.63468,0.09399
4.1703,1.5652,0.64392,0.092073
4.25,1.6256,0.65303,0.090185
4.3297,1.6872,0.66202,0.088328
4.4078,1.7486,0.67071,0.086535
4.4859,1.8111,0.67928,0.084773
4.5641,1.8748,0.68773,0.083039
4.6406,1.9382,0.69591,0.08137
4.7172,2.0027,0.70397,0.079729
4.7937,2.0682,0.71192,0.078117
4.8687,2.1334,0.71961,0.076566
4.9437,2.1997,0.72719,0.075043
5.0187,2.2669,0.73468,0.073547
5.0922,2.3337,0.74191,0.07211
5.1656,2.4015,0.74904,0.070699
5.2391,2.4703,0.75609,0.069314
5.3109,2.5385,0.76289,0.067983
5.3828,2.6077,0.76961,0.066678
5.4547,2.6778,0.77624,0.065397
5.5258,2.7481,0.78271,0.064153
5.5961,2.8185,0.78903,0.062947
5.6664,2.8897,0.79528,0.061763
5.7367,2.9619,0.80144,0.060602
5.8055,3.0333,0.80739,0.059488
5.8742,3.1056,0.81327,0.058396
5.943,3.1787,0.81908,0.057324
6.0117,3.2527,0.82481,0.056272
6.0789,3.3258,0.83035,0.055264
6.1461,3.3997,0.83582,0.054275
6.2133,3.4744,0.84123,0.053305
6.2797,3.5491,0.84651,0.052364
