x,y,theta,kappa
-5,2.5,-0.7854,0.070711
-4.9297,2.4302,-0.77832,0.072218
-4.8578,2.3598,-0.77098,0.073792
-4.7859,2.2905,-0.76353,0.075399
-4.7141,2.2222,-0.75597,0.07704
-4.6406,2.1535,-0.74814,0.078753
-4.5672,2.0859,-0.74019,0.080501
-4.4938,2.0194,-0.73212,0.082285
-4.4188,1.9525,-0.72376,0.084145
-4.3438,1.8868,-0.71528,0.086043
-4.268,1.8216,-0.70658,0.087999
-4.1914,1.7568,-0.69765,0.090015
-4.1148,1.6932,-0.68859,0.092071
-4.0367,1.6295,-0.6792,0.094209
-3.9586,1.567,-0.66967,0.096388
-3.8805,1.5058,-0.65999,0.098606
-3.8008,1.4446,-0.64997,0.10091
-3.7211,1.3847,-0.63979,0.10326
-3.6398,1.3248,-0.62925,0.10569
-3.5586,1.2664,-0.61855,0.10816
-3.4773,1.2092,-0.60768,0.11067
-3.3945,1.1523,-0.59643,0.11326
-3.3117,1.0967,-0.585,0.1159
-3.2273,1.0416,-0.57318,0.11862
-3.143,0.98783,-0.56118,0.12137
-3.0586,0.9355,-0.54899,0.12415
-2.9727,0.88367,-0.53639,0.12702
-2.8867,0.83331,-0.52359,0.1299
-2.7992,0.78356,-0.51037,0.13287
-2.7117,0.73534,-0.49695,0.13585
-2.6242,0.68865,-0.48332,0.13884
-2.5352,0.6427,-0.46926,0.1419
-2.4461,0.59834,-0.45499,0.14496
-2.3555,0.55482,-0.44026,0.14807
-2.2648,0.51295,-0.42532,0.15117
-2.1742,0.47272,-0.41018,0.15424
-2.082,0.43349,-0.39457,0.15735
-1.9898,0.39595,-0.37875,0.16042
-1.8961,0.35952,-0.36246,0.16349
-1.8023,0.32484,-0.34597,0.16651
-1.7086,0.29193,-0.32928,0.16947
-1.6133,0.26027,-0.31211,0.17239
-1.518,0.23042,-0.29475,0.17522
-1.4211,0.20195,-0.27692,0.178
-1.3242,0.17536,-0.2589,0.18066
-1.2273,0.15064,-0.24071,0.1832
-1.1305,0.1278,-0.22236,0.18559
-1.0336,0.10683,-0.20385,0.18783
-0.93516,0.087452,-0.1849,0.18995
-0.83672,0.07001,-0.16581,0.19188
-0.73828,0.054506,-0.1466,0.19363
-0.63984,0.04094,-0.12728,0.19519
-0.54141,0.029312,-0.10786,0.19653
-0.44219,0.019553,-0.088208,0.19768
-0.34297,0.011763,-0.068486,0.1986
-0.24375,0.0059414,-0.048711,0.19929
-0.14453,0.0020889,-0.028898,0.19975
-0.045313,0.00020532,-0.0090623,0.19998
0.053906,0.00029059,0.010781,0.19997
0.15312,0.0023447,0.030615,0.19972
0.25234,0.0063677,0.050426,0.19924
0.35156,0.01236,0.070197,0.19853
0.45078,0.02032,0.089913,0.19759
0.55,0.03025,0.10956,0.19642
0.64844,0.042047,0.12897,0.19506
0.74687,0.055782,0.14828,0.19349
0.84531,0.071455,0.16748,0.19172
0.94375,0.089066,0.18656,0.18977
1.0422,0.10862,0.2055,0.18764
1.1391,0.12975,0.22399,0.18538
1.2359,0.15275,0.24233,0.18298
1.3328,0.17764,0.26051,0.18043
1.4297,0.2044,0.27851,0.17776
1.525,0.23256,0.29604,0.17502
1.6203,0.26254,0.31338,0.17218
1.7156,0.29434,0.33054,0.16925
1.8094,0.32738,0.34721,0.16629
1.9031,0.36219,0.36369,0.16326
1.9969,0.39875,0.37997,0.16019
2.0891,0.43642,0.39577,0.15711
2.1812,0.47579,0.41136,0.15401
2.2719,0.51614,0.42649,0.15093
2.3625,0.55814,0.44141,0.14783
2.4531,0.60178,0.45612,0.14472
2.5422,0.64627,0.47037,0.14166
2.6313,0.69235,0.48443,0.1386
2.7188,0.73916,0.49803,0.13561
2.8063,0.7875,0.51144,0.13263
2.8938,0.83738,0.52465,0.12967
2.9797,0.88785,0.53743,0.12678
3.0656,0.93981,0.55001,0.12392
3.15,0.99225,0.56219,0.12114
3.2344,1.0461,0.57418,0.11839
3.3188,1.1014,0.58598,0.11567
3.4016,1.1571,0.59739,0.11304
3.4844,1.2141,0.60863,0.11045
3.5656,1.2714,0.61948,0.10794
3.6469,1.33,0.63017,0.10547
3.7281,1.3899,0.6407,0.10305
3.8078,1.4499,0.65086,0.10071
3.8875,1.5113,0.66087,0.098405
3.9656,1.5726,0.67053,0.09619
4.0438,1.6352,0.68005,0.094015
4.1219,1.699,0.68943,0.091881
4.1984,1.7627,0.69848,0.089829
4.275,1.8276,0.70739,0.087816
4.35,1.8923,0.71599,0.085883
4.425,1.9581,0.72447,0.083989
4.5,2.025,0.73282,0.082132
4.5734,2.0916,0.74087,0.080351
4.6469,2.1593,0.74881,0.078605
4.7203,2.2281,0.75663,0.076896
4.7922,2.2965,0.76418,0.075258
4.8641,2.3659,0.77162,0.073654
4.9359,2.4363,0.77895,0.072083
5.0062,2.5063,0.78602,0.070578
5.0766,2.5771,0.793,0.069105
5.1469,2.649,0.79987,0.067663
5.2156,2.7203,0.8065,0.066283
5.2844,2.7925,0.81304,0.064931
5.3531,2.8656,0.81949,0.063608
5.4211,2.9388,0.82578,0.062328
5.4883,3.0121,0.83192,0.061089
5.5555,3.0863,0.83797,0.059876
5.6227,3.1614,0.84395,0.058688
5.6883,3.2357,0.84971,0.057553
5.7539,3.3107,0.85539,0.056441
5.8195,3.3867,0.861,0.055352
5.8844,3.4626,0.86647,0.054299
5.9484,3.5384,0.87181,0.053279
6.0125,3.615,0.87708,0.052281
6.0766,3.6925,0.88229,0.051303
6.1398,3.7698,0.88736,0.050357
6.2023,3.8469,0.89232,0.049442
6.2648,3.9248,0.89721,0.048545
6.3273,4.0035,0.90205,0.047667
6.3891,4.082,0.90676,0.046817
6.45,4.1602,0.91137,0.045994
6.5109,4.2392,0.91591,0.045188
6.5719,4.319,0.92041,0.044398
6.6328,4.3994,0.92485,0.043624
6.693,4.4796,0.92918,0.042874
6.7523,4.5594,0.93341,0.042149
6.8117,4.64,0.9376,0.041438
6.8711,4.7212,0.94173,0.040741
6.9297,4.8021,0.94576,0.040066
6.9875,4.8825,0.9497,0.039412
7.0453,4.9636,0.9536,0.038772
7.1031,5.0454,0.95745,0.038143
7.1609,5.1279,0.96126,0.037526
7.218,5.2099,0.96498,0.036929
7.2742,5.2914,0.9686,0.036351
7.3305,5.3736,0.9722,0.035783
7.3867,5.4564,0.97575,0.035226
7.443,5.5398,0.97927,0.03468
7.4984,5.6227,0.9827,0.03415
7.5539,5.7061,0.98609,0.03363
7.6086,5.7891,0.98941,0.033127
7.6633,5.8726,0.99269,0.032633
7.718,5.9567,0.99594,0.032147
7.7727,6.0414,0.99916,0.03167
7.8266,6.1255,1.0023,0.031208
7.8805,6.2102,1.0054,0.030754
7.9336,6.2942,1.0084,0.030314
7.9867,6.3788,1.0114,0.029882
8.0398,6.4639,1.0144,0.029457
8.093,6.5496,1.0174,0.02904
8.1453,6.6346,1.0203,0.028636
8.1977,6.7202,1.0231,0.028238
8.2492,6.805,1.0259,0.027853
8.3008,6.8903,1.0286,0.027474
8.3523,6.9762,1.0314,0.027101
8.4039,7.0626,1.0341,0.026735
8.4547,7.1482,1.0367,0.02638
8.5055,7.2343,1.0394,0.026031
8.5562,7.3209,1.042,0.025687
8.6062,7.4068,1.0445,0.025354
