x,y,theta,kappa
0,0,0,2
0.099062,0.0098134,0.19559,1.8878
0.19531,0.038147,0.3724,1.6163
0.28594,0.08176,0.51948,1.3083
0.36906,0.13621,0.63586,1.0416
0.44656,0.19942,0.729,0.82978
0.51844,0.26878,0.8035,0.66907
0.5852,0.34246,0.86375,0.54822
0.64797,0.41986,0.91358,0.456
0.70782,0.501,0.95579,0.38413
0.76422,0.58404,0.99143,0.32822
0.81789,0.66895,1.0221,0.28379
0.86934,0.75575,1.0489,0.24786
0.91791,0.84256,1.072,0.21891
0.96502,0.93125,1.0928,0.19473
1.0099,1.02,1.1111,0.17469
1.0538,1.1105,1.1278,0.15753
1.096,1.2011,1.1428,0.14302
1.1365,1.2917,1.1563,0.1306
1.1765,1.3842,1.1689,0.11967
1.2152,1.4766,1.1804,0.11019
1.2526,1.5691,1.191,0.10189
1.289,1.6616,1.2008,0.09459
1.3244,1.7541,1.2098,0.088119
1.3596,1.8484,1.2184,0.082243
1.3938,1.9428,1.2264,0.076992
1.4273,2.0371,1.2338,0.072277
1.46,2.1315,1.2408,0.068024
1.4919,2.2259,1.2474,0.064173
1.5232,2.3202,1.2536,0.060671
1.5539,2.4146,1.2595,0.057477
1.584,2.5089,1.265,0.054554
1.6141,2.6052,1.2704,0.051819
1.6436,2.7014,1.2755,0.049305
1.6726,2.7977,1.2803,0.046988
1.7011,2.8939,1.2849,0.044847
1.7292,2.9901,1.2893,0.042864
1.7568,3.0864,1.2935,0.041023
1.784,3.1826,1.2975,0.03931
1.8108,3.2789,1.3014,0.037713
1.8371,3.3751,1.3051,0.036221
1.8632,3.4714,1.3086,0.034825
1.8888,3.5676,1.312,0.033516
1.9141,3.6638,1.3153,0.032287
1.9391,3.7601,1.3184,0.031132
1.9638,3.8563,1.3215,0.030044
1.9881,3.9526,1.3244,0.029018
2.0122,4.0488,1.3272,0.028049
2.0359,4.1451,1.33,0.027133
2.0594,4.2413,1.3326,0.026265
2.0827,4.3376,1.3352,0.025443
2.1061,4.4357,1.3377,0.024648
2.1293,4.5338,1.3402,0.023894
2.1522,4.6319,1.3425,0.023177
2.1749,4.73,1.3448,0.022495
2.1973,4.8282,1.3471,0.021846
2.2195,4.9263,1.3492,0.021228
2.2415,5.0244,1.3513,0.020639
2.2633,5.1225,1.3534,0.020076
2.2849,5.2207,1.3554,0.019538
2.3062,5.3188,1.3573,0.019024
2.3274,5.4169,1.3592,0.018532
2.3484,5.515,1.361,0.018061
2.3692,5.6131,1.3628,0.017609
2.3898,5.7113,1.3646,0.017176
2.4103,5.8094,1.3663,0.016761
2.4305,5.9075,1.3679,0.016362
2.4506,6.0056,1.3695,0.015978
2.4706,6.1038,1.3711,0.01561
2.4904,6.2019,1.3727,0.015255
2.51,6.3,1.3742,0.014913
2.5295,6.3981,1.3756,0.014584
2.5488,6.4963,1.3771,0.014267
2.568,6.5944,1.3785,0.013962
2.587,6.6925,1.3799,0.013667
2.6059,6.7906,1.3812,0.013382
2.6246,6.8887,1.3825,0.013107
2.6433,6.9869,1.3838,0.012841
2.6618,7.085,1.3851,0.012585
2.6801,7.1831,1.3864,0.012336
2.6984,7.2812,1.3876,0.012096
2.7165,7.3794,1.3888,0.011863
2.7345,7.4775,1.3899,0.011638
2.7524,7.5756,1.3911,0.01142
2.7701,7.6737,1.3922,0.011208
2.7878,7.7719,1.3933,0.011003
2.8053,7.87,1.3944,0.010805
2.8228,7.9681,1.3955,0.010612
2.8401,8.0662,1.3965,0.010424
2.8573,8.1643,1.3976,0.010243
2.8745,8.2625,1.3986,0.010066
2.8915,8.3606,1.3996,0.0098944
2.9084,8.4587,1.4005,0.0097277
2.9252,8.5568,1.4015,0.0095656
2.9419,8.655,1.4024,0.0094079
2.9586,8.7531,1.4034,0.0092545
2.9751,8.8512,1.4043,0.0091052
2.9915,8.9493,1.4052,0.0089599
3.0079,9.0475,1.4061,0.0088185
3.0242,9.1456,1.4069,0.0086807
3.0403,9.2437,1.4078,0.0085465
